Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Resolution code,Resolution notes
RITM200137,Hardware request for user 5,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-03-03 21:26:00,2026-03-05 18:26:00,Fulfilled,Request completed as per standard procedure.
RITM200138,Account creation for user 441,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-02-01 06:32:00,2026-02-03 03:32:00,Fulfilled,Request completed as per standard procedure.
RITM200139,Hardware request for user 37,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-01-13 00:44:00,2026-01-14 01:44:00,Fulfilled,Request completed as per standard procedure.
RITM200140,Account creation for user 53,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-01-09 03:08:00,2026-01-10 03:08:00,Fulfilled,Request completed as per standard procedure.
RITM200141,Access request for user 71,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-03-22 04:32:00,2026-03-22 13:32:00,Fulfilled,Request completed as per standard procedure.
RITM200142,Software install for user 36,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Identity,2026-02-28 09:32:00,2026-03-01 22:32:00,Fulfilled,Request completed as per standard procedure.
RITM200143,Software install for user 226,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-01-01 18:30:00,2026-01-03 17:30:00,Fulfilled,Request completed as per standard procedure.
RITM200144,Software install for user 471,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-01-20 09:25:00,2026-01-22 01:25:00,Fulfilled,Request completed as per standard procedure.
RITM200145,Hardware request for user 441,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-03-04 11:49:00,2026-03-04 17:49:00,Fulfilled,Request completed as per standard procedure.
RITM200146,Account creation for user 72,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-03-23 14:38:00,2026-03-25 04:38:00,Fulfilled,Request completed as per standard procedure.
RITM200147,Hardware request for user 180,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-03-08 10:43:00,2026-03-09 07:43:00,Fulfilled,Request completed as per standard procedure.
RITM200148,Software install for user 127,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-03-14 00:08:00,2026-03-15 18:08:00,Fulfilled,Request completed as per standard procedure.
RITM200149,Software install for user 284,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Identity,2026-01-08 16:02:00,2026-01-10 07:02:00,Fulfilled,Request completed as per standard procedure.
RITM200150,Access request for user 399,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-03-07 15:26:00,2026-03-07 17:26:00,Fulfilled,Request completed as per standard procedure.
RITM200151,Access request for user 106,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-03-19 04:14:00,2026-03-20 19:14:00,Fulfilled,Request completed as per standard procedure.
RITM200152,Software install for user 383,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-02-16 09:04:00,2026-02-17 04:04:00,Fulfilled,Request completed as per standard procedure.
RITM200153,Account creation for user 402,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-02-28 19:34:00,2026-03-02 03:34:00,Fulfilled,Request completed as per standard procedure.
RITM200154,Account creation for user 124,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-02-05 02:58:00,2026-02-06 19:58:00,Fulfilled,Request completed as per standard procedure.
RITM200155,Account creation for user 271,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-02-24 01:27:00,2026-02-25 01:27:00,Fulfilled,Request completed as per standard procedure.
RITM200156,Access request for user 68,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-03-27 00:11:00,2026-03-28 13:11:00,Fulfilled,Request completed as per standard procedure.
RITM200157,Access request for user 280,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-02-08 07:23:00,2026-02-08 19:23:00,Fulfilled,Request completed as per standard procedure.
RITM200158,Hardware request for user 489,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-03-11 10:12:00,2026-03-11 12:12:00,Fulfilled,Request completed as per standard procedure.
RITM200159,Account creation for user 8,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-02-23 11:06:00,2026-02-24 01:06:00,Fulfilled,Request completed as per standard procedure.
RITM200160,Account creation for user 486,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-01-04 15:00:00,2026-01-06 00:00:00,Fulfilled,Request completed as per standard procedure.
RITM200161,Hardware request for user 217,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-01-27 01:50:00,2026-01-28 03:50:00,Fulfilled,Request completed as per standard procedure.
RITM200162,Software install for user 143,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-01-08 12:03:00,2026-01-09 08:03:00,Fulfilled,Request completed as per standard procedure.
RITM200163,Software install for user 499,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-01-08 04:37:00,2026-01-09 15:37:00,Fulfilled,Request completed as per standard procedure.
RITM200164,Hardware request for user 301,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-01-30 17:47:00,2026-02-01 11:47:00,Fulfilled,Request completed as per standard procedure.
RITM200165,Account creation for user 159,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-03-03 23:47:00,2026-03-05 03:47:00,Fulfilled,Request completed as per standard procedure.
RITM200166,Software install for user 30,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-03-08 10:37:00,2026-03-08 16:37:00,Fulfilled,Request completed as per standard procedure.
RITM200167,Hardware request for user 60,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-03-26 03:52:00,2026-03-27 19:52:00,Fulfilled,Request completed as per standard procedure.
RITM200168,Account creation for user 159,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-02-25 10:00:00,2026-02-27 10:00:00,Fulfilled,Request completed as per standard procedure.
RITM200169,Software install for user 62,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-03-01 21:32:00,2026-03-03 19:32:00,Fulfilled,Request completed as per standard procedure.
RITM200170,Account creation for user 84,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-01-13 11:44:00,2026-01-14 10:44:00,Fulfilled,Request completed as per standard procedure.
RITM200171,Access request for user 86,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-02-17 14:31:00,2026-02-17 23:31:00,Fulfilled,Request completed as per standard procedure.
RITM200172,Access request for user 376,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-03-10 05:54:00,2026-03-10 07:54:00,Fulfilled,Request completed as per standard procedure.
RITM200173,Hardware request for user 140,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-01-31 11:50:00,2026-01-31 16:50:00,Fulfilled,Request completed as per standard procedure.
RITM200174,Account creation for user 255,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-01-24 22:25:00,2026-01-26 07:25:00,Fulfilled,Request completed as per standard procedure.
RITM200175,Account creation for user 256,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Identity,2026-02-02 18:42:00,2026-02-03 05:42:00,Fulfilled,Request completed as per standard procedure.
RITM200176,Software install for user 131,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-02-03 11:13:00,2026-02-05 00:13:00,Fulfilled,Request completed as per standard procedure.
RITM200177,Account creation for user 117,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-03-03 08:38:00,2026-03-04 17:38:00,Fulfilled,Request completed as per standard procedure.
RITM200178,Account creation for user 440,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-01-01 05:36:00,2026-01-01 21:36:00,Fulfilled,Request completed as per standard procedure.
RITM200179,Hardware request for user 187,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-01-05 04:26:00,2026-01-05 14:26:00,Fulfilled,Request completed as per standard procedure.
RITM200180,Account creation for user 284,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-01-17 06:56:00,2026-01-19 06:56:00,Fulfilled,Request completed as per standard procedure.
RITM200181,Hardware request for user 115,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-03-01 16:24:00,2026-03-02 08:24:00,Fulfilled,Request completed as per standard procedure.
RITM200182,Access request for user 139,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-02-07 21:19:00,2026-02-09 10:19:00,Fulfilled,Request completed as per standard procedure.
RITM200183,Account creation for user 258,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-02-03 22:24:00,2026-02-04 02:24:00,Fulfilled,Request completed as per standard procedure.
RITM200184,Software install for user 412,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Identity,2026-01-17 07:47:00,2026-01-17 10:47:00,Fulfilled,Request completed as per standard procedure.
RITM200185,Hardware request for user 36,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-03-28 20:13:00,2026-03-29 15:13:00,Fulfilled,Request completed as per standard procedure.
RITM200186,Access request for user 168,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-03-12 09:47:00,2026-03-13 21:47:00,Fulfilled,Request completed as per standard procedure.
RITM200187,Account creation for user 189,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-02-11 13:46:00,2026-02-12 08:46:00,Fulfilled,Request completed as per standard procedure.
RITM200188,Access request for user 379,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-02-21 07:39:00,2026-02-21 23:39:00,Fulfilled,Request completed as per standard procedure.
RITM200189,Access request for user 303,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-02-12 05:27:00,2026-02-12 18:27:00,Fulfilled,Request completed as per standard procedure.
RITM200190,Software install for user 78,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-03-08 16:05:00,2026-03-09 19:05:00,Fulfilled,Request completed as per standard procedure.
RITM200191,Software install for user 278,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-01-03 04:13:00,2026-01-04 21:13:00,Fulfilled,Request completed as per standard procedure.
RITM200192,Account creation for user 487,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-03-18 10:04:00,2026-03-18 11:04:00,Fulfilled,Request completed as per standard procedure.
RITM200193,Hardware request for user 435,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-03-11 01:54:00,2026-03-13 00:54:00,Fulfilled,Request completed as per standard procedure.
RITM200194,Account creation for user 106,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Identity,2026-01-28 23:46:00,2026-01-29 15:46:00,Fulfilled,Request completed as per standard procedure.
RITM200195,Hardware request for user 493,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-02-08 05:06:00,2026-02-08 15:06:00,Fulfilled,Request completed as per standard procedure.
RITM200196,Access request for user 48,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-03-06 18:37:00,2026-03-07 09:37:00,Fulfilled,Request completed as per standard procedure.
RITM200197,Hardware request for user 359,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-03-23 16:09:00,2026-03-24 22:09:00,Fulfilled,Request completed as per standard procedure.
RITM200198,Account creation for user 298,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-03-30 16:56:00,2026-04-01 01:56:00,Fulfilled,Request completed as per standard procedure.
RITM200199,Hardware request for user 39,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-01-13 03:39:00,2026-01-14 16:39:00,Fulfilled,Request completed as per standard procedure.
